Month,Day,Hour,Irradiance,Temperature,
2,4,11,868,15.6,
2,4,12,891,16.7,
2,4,13,861,17.3,
2,4,14,909,17.9,
2,4,15,823,18.1,
2,4,16,639,17.9,
2,4,17,469,17.3,
2,4,18,250,16.2,
2,4,19,31,14.8,
2,4,20,0,13.9,
2,4,21,0,13.0,
2,4,22,0,12.0,
2,4,23,0,11.1,
2,4,24,0,10.2,
2,5,1,0,9.9,
2,5,2,0,9.5,
2,5,3,0,9.1,
2,5,4,0,8.7,
2,5,5,0,8.3,
2,5,6,0,8.0,
2,5,7,40,8.7,
2,5,8,202,10.2,
2,5,9,433,12.2,
2,5,10,744,14.6,
2,5,11,918,16.7,
2,5,12,1019,18.5,
2,5,13,1065,19.8,
2,5,14,1032,20.7,
2,5,15,900,21.2,
2,5,16,740,21.2,
2,5,17,479,20.5,
2,5,18,242,19.3,
2,5,19,34,17.7,
2,5,20,0,16.7,
2,5,21,0,15.8,
2,5,22,0,14.8,
2,5,23,0,13.9,
2,5,24,0,12.9,
2,6,1,0,12.1,
2,6,2,0,11.2,
2,6,3,0,10.3,
2,6,4,0,9.4,
2,6,5,0,8.5,
2,6,6,0,7.6,
2,6,7,12,7.7,
2,6,8,254,9.8,
2,6,9,530,12.0,
2,6,10,769,14.2,
2,6,11,981,16.2,
2,6,12,1106,17.9,
2,6,13,1149,19.2,
2,6,14,1127,20.1,
2,6,15,1011,20.5,
2,6,16,830,20.5,
2,6,17,603,19.9,
2,6,18,326,18.7,
2,6,19,50,17.0,
2,6,20,0,15.9,
2,6,21,0,14.8,
2,6,22,0,13.7,
2,6,23,0,12.6,
2,6,24,0,11.5,
2,7,1,0,11.0,
2,7,2,0,10.3,
2,7,3,0,9.7,
2,7,4,0,9.0,
2,7,5,0,8.3,
2,7,6,0,7.7,
2,7,7,49,8.5,
2,7,8,290,10.7,
2,7,9,567,13.0,
2,7,10,807,15.3,
2,7,11,986,17.3,
2,7,12,1101,19.0,
2,7,13,1133,20.2,
2,7,14,1094,21.0,
2,7,15,970,21.4,
2,7,16,787,21.3,
2,7,17,563,20.6,
2,7,18,320,19.4,
2,7,19,27,17.6,
2,7,20,0,16.6,
2,7,21,0,15.6,
2,7,22,0,14.5,
2,7,23,0,13.5,
2,7,24,0,12.5,
2,8,1,0,11.9,
2,8,2,0,11.3,
2,8,3,0,10.6,
2,8,4,0,10.0,
2,8,5,0,9.3,
2,8,6,0,8.7,
2,8,7,45,9.6,
2,8,8,211,11.2,
2,8,9,411,13.0,
2,8,10,504,14.4,
2,8,11,437,15.0,
2,8,12,342,15.0,
2,8,13,793,16.3,
2,8,14,723,17.1,
2,8,15,446,17.1,
2,8,16,366,16.8,
2,8,17,270,16.3,
2,8,18,219,15.7,
2,8,19,44,14.7,
2,8,20,0,14.1,
2,8,21,0,13.5,
2,8,22,0,12.9,
2,8,23,0,12.3,
2,8,24,0,11.7,
2,9,1,0,11.3,
2,9,2,0,10.9,
2,9,3,0,10.5,
2,9,4,0,10.1,
2,9,5,0,9.7,
2,9,6,0,9.2,
2,9,7,35,9.9,
2,9,8,206,11.5,
2,9,9,370,13.1,
2,9,10,179,12.9,
2,9,11,417,13.8,
2,9,12,282,13.9,
2,9,13,635,14.9,
2,9,14,703,15.9,
2,9,15,651,16.5,
2,9,16,247,16.0,
2,9,17,138,15.4,
2,9,18,116,14.7,
2,9,19,14,14.0,
2,9,20,0,13.6,
2,9,21,0,13.3,
2,9,22,0,12.9,
2,9,23,0,12.6,
2,9,24,0,12.2,
2,10,1,0,11.9,
2,10,2,0,11.5,
2,10,3,0,11.1,
2,10,4,0,10.7,
2,10,5,0,10.4,
2,10,6,0,10.0,
2,10,7,14,10.3,
2,10,8,173,12.0,
2,10,9,359,13.8,
2,10,10,365,14.8,
2,10,11,362,15.3,
2,10,12,415,15.9,
2,10,13,495,16.5,
2,10,14,216,16.2,
2,10,15,435,16.5,
2,10,16,540,17.0,
2,10,17,464,17.2,
2,10,18,209,16.8,
2,10,19,46,15.9,
2,10,20,0,15.2,
2,10,21,0,14.4,
2,10,22,0,13.6,
2,10,23,0,12.9,
2,10,24,0,12.1,
2,11,1,0,11.4,
2,11,2,0,10.7,
2,11,3,0,9.9,
2,11,4,0,9.2,
2,11,5,0,8.4,
2,11,6,0,7.7,
2,11,7,14,7.8,
2,11,8,222,9.6,
2,11,9,497,11.8,
2,11,10,743,14.0,
2,11,11,959,16.0,
2,11,12,1064,17.7,
2,11,13,1111,18.9,
2,11,14,1072,19.8,
2,11,15,974,20.2,
2,11,16,796,20.2,
2,11,17,541,19.6,
2,11,18,301,18.4,
2,11,19,26,16.8,
2,11,20,0,15.7,
2,11,21,0,14.7,
2,11,22,0,13.7,
2,11,23,0,12.7,
2,11,24,0,11.7,
2,12,1,0,11.1,
2,12,2,0,10.4,
2,12,3,0,9.7,
2,12,4,0,9.0,
2,12,5,0,8.3,
2,12,6,0,7.6,
2,12,7,36,8.1,
2,12,8,229,9.6,
2,12,9,485,11.5,
2,12,10,760,13.6,
2,12,11,968,15.5,
2,12,12,1092,17.1,
2,12,13,1138,18.3,
2,12,14,1108,19.1,
2,12,15,991,19.5,
2,12,16,805,19.5,
2,12,17,547,18.8,
2,12,18,219,17.4,
2,12,19,36,15.9,
2,12,20,0,14.9,
2,12,21,0,13.9,
2,12,22,0,12.9,
2,12,23,0,11.9,
2,12,24,0,10.9,
2,13,1,0,10.5,
2,13,2,0,9.9,
2,13,3,0,9.4,
2,13,4,0,8.9,
2,13,5,0,8.4,
2,13,6,0,7.9,
2,13,7,42,8.7,
2,13,8,270,10.9,
2,13,9,568,13.5,
2,13,10,762,15.7,
2,13,11,960,17.8,
2,13,12,1070,19.6,
2,13,13,1112,20.9,
2,13,14,1089,21.9,
2,13,15,958,22.3,
2,13,16,755,22.3,
2,13,17,564,21.6,
2,13,18,242,20.2,
2,13,19,34,18.5,
2,13,20,0,17.5,
2,13,21,0,16.4,
2,13,22,0,15.4,
2,13,23,0,14.3,
2,13,24,0,13.3,
2,14,1,0,12.4,
2,14,2,0,11.5,
2,14,3,0,10.7,
2,14,4,0,9.8,
2,14,5,0,8.9,
2,14,6,0,8.1,
2,14,7,27,8.5,
2,14,8,246,10.4,
